ID,Cnumber,RegionID,RegionName,Type,SubType,Category,ReEst_Subsidy2009,NewData,Developed,HDI_2005,Countries,%SSFsubsidies_assessed,weighted_by_sectorsize,Data_group,%SSF_totalCatch_EEZ,%SSF_totalCatch_Country,%SSF_decimal,SSF_USD_1000,Comment,DocSource,SourceVisitDate,Ref,URL,User,OldComment
1418,608,2,Asia,A1,Fisheries mangt.,Good,150317.400345386,FALSE,Developing,0.771,Philippines,28.6624203822,TRUE,3,28.6624203822,25.4755019753,0.2866242038,43084.6051945374,APEC 2000; fisheries Managament and conservation programmes – 1998 usd 150000 for stock enhancement for all sectors,,,,http://www.fao.org/fi/fcp/en/PHL/profile.htm,,
1419,608,2,Asia,A2,Fishery R&D,Good,106929.633393416,FALSE,Developing,0.771,Philippines,25.4755019753,TRUE,3,28.6624203822,25.4755019753,0.2866242038,27240.8608673407,No indication for which sector but should euqally benefits either -> 50-50%,,,,http://www.fao.org/fi/fcp/en/PHL/profile.htm,,
1420,608,2,Asia,A3,MPAs,Good,14325.450291411,FALSE,Developing,0.771,Philippines,28.6624203822,TRUE,3,28.6624203822,25.4755019753,0.2866242038,4106.0207841624,All MPA evenly split based on % of landings based on sector,,,,,,
1421,608,2,Asia,B1,Boat constsruct. & renov.,Bad,291723.649784014,FALSE,Developing,0.771,Philippines,25.4755019753,TRUE,3,28.6624203822,25.4755019753,0.2866242038,74318.0641631983,"Philippines based on APEC 2000 and Ahmend 2002 makes effort to reach SSF with their subsidies, however Green 2003 states that most of those subsidies don't reach SSF and more intended for commercial vessel to go out further to fish whcih they don't always do (lack of enforcement)",,,,,,
1422,608,2,Asia,B2,Fisheries dev. projects,Bad,5987.4051235499,TRUE,Developing,0.771,Philippines,25.4755019753,TRUE,3,28.6624203822,25.4755019753,0.2866242038,1525.3215105203,OECDstat.org (Oct 08). Official development aid to the fishing sector and 2005 FAO country profile APEC 2000 – both SSF and LSF sector equally,,,,http://www.fao.org/fi/fcp/en/PHL/profile.htm.,,
1423,608,2,Asia,B3,Fishing port develop.,Bad,0,FALSE,Developing,0.771,Philippines,NA,NA,NA,28.6624203822,25.4755019753,0.2866242038,#VALUE!,,,,,,,
1424,608,2,Asia,B4,Markt. & storage infrast.,Bad,2305.4681103427,FALSE,Developing,0.771,Philippines,20,FALSE,1,28.6624203822,25.4755019753,0.2866242038,461.0936220685,"APEC, 2000. Infrastructure support programs towards ports, markets and price support promotions. - split btw SSF and LFS (or as the stated commercial and municipal fisheries, see Palomares and Pauly 2014 for explanation -> mainly commercial fisheries i.e. 80% LSF and 20% SSF ??",,,,,,
1425,608,2,Asia,B5,Tax exemption,Bad,92663.1711270895,FALSE,Developing,0.771,Philippines,0,FALSE,2,28.6624203822,25.4755019753,0.2866242038,0,"2002 Ahmed, M. et al. 2002. Tax exemptions towards fishing activities. Based Green et al. large focus on commercial fleet no mention of SSF in regard to subsidies -> 100% Commercial",,,,,,
1426,608,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,0.771,Philippines,NA,NA,NA,28.6624203822,25.4755019753,0.2866242038,#VALUE!,,,,,,,
1428,608,2,Asia,C1,Fisher assistance,Ugly,35605.2654320634,TRUE,Developing,0.771,Philippines,100,FALSE,1,28.6624203822,25.4755019753,0.2866242038,35605.2654320634,"Intended for poor fisherfolk, livelihoods etc. --> 100% SSF",,,,http://www.da.gov.ph/index.php/2012-03-27-12-04-15/2012-04-17-09-30-59/217-da-allots-p1-9b-for-fisheries-program,,
