ID,Cnumber,RegionID,RegionName,Type,SubType,Category,ReEst_Subsidy2009,NewData,Developed,HDI_2005,Countries,%SSFsubsidies_assessed,weighted_by_sectorsize,Data_group,%SSF_totalCatch_EEZ,%SSF_totalCatch_Country,SSF_USD_1000
1418,608,2,Asia,A1,Fisheries mangt.,Good,150317.400345386,FALSE,Developing,0.771,Philippines,28.6624203822,TRUE,3,28.6624203822,25.4755019753,43084.6051945374
1419,608,2,Asia,A2,Fishery RandD,Good,106929.633393416,FALSE,Developing,0.771,Philippines,25.4755019753,TRUE,3,28.6624203822,25.4755019753,27240.8608673407
1420,608,2,Asia,A3,MPAs,Good,14325.450291411,FALSE,Developing,0.771,Philippines,28.6624203822,TRUE,3,28.6624203822,25.4755019753,4106.0207841624
1421,608,2,Asia,B1,Boat constsruct.  and  renov.,Bad,291723.649784014,FALSE,Developing,0.771,Philippines,25.4755019753,TRUE,3,28.6624203822,25.4755019753,74318.0641631983
1422,608,2,Asia,B2,Fisheries dev. projects,Bad,5987.4051235499,TRUE,Developing,0.771,Philippines,25.4755019753,TRUE,3,28.6624203822,25.4755019753,1525.3215105203
1423,608,2,Asia,B3,Fishing port develop.,Bad,0,FALSE,Developing,0.771,Philippines,NaN,NaN,NaN,28.6624203822,25.4755019753,#VALUE!
1424,608,2,Asia,B4,Markt.  and  storage infrast.,Bad,2305.4681103427,FALSE,Developing,0.771,Philippines,20,FALSE,1,28.6624203822,25.4755019753,461.0936220685
1425,608,2,Asia,B5,Tax exemption,Bad,92663.1711270895,FALSE,Developing,0.771,Philippines,0,FALSE,2,28.6624203822,25.4755019753,0
1426,608,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,0.771,Philippines,NaN,NaN,NaN,28.6624203822,25.4755019753,#VALUE!
1428,608,2,Asia,C1,Fisher assistance,Ugly,35605.2654320634,TRUE,Developing,0.771,Philippines,100,FALSE,1,28.6624203822,25.4755019753,35605.2654320634
1429,608,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.771,Philippines,NaN,NaN,NaN,28.6624203822,25.4755019753,#VALUE!
1430,608,2,Asia,C3,Rural fisher communities,Ugly,21737.0445192869,FALSE,Developing,0.771,Philippines,100,FALSE,1,28.6624203822,25.4755019753,21737.0445192869
820,356,2,Asia,A1,Fisheries mangt.,Good,6450.2381397706,TRUE,Developing,0.619,India,42.381331336,TRUE,3,42.381331336,41.4984071689,2733.6967979783
821,356,2,Asia,A2,Fishery R and D,Good,2179.1134742639,TRUE,Developing,0.619,India,41.4984071689,TRUE,3,42.381331336,41.4984071689,904.2973822221
